#BIBLE VERSE DESKTOP

#name   	Hindi Bible
#language	hindi

; Scripture taken from the Hindi Bible. 

यहोवा मेरा चरवाहा है, मुझे कुछ घटी न होगी।	भजन संहिता 22:1
परमेश्वर जो सामर्थी और पराक्रमी है, परमेश्वर जो युद्ध में पराक्रमी है!	भजन संहिता 23:8
हे मेरे परमेश्वर, मैं ने तुझी पर भरोसा रखा है, मुझे लज्जित होने न दे	भजन संहिता 24:2
हे यहोवा अपके मार्ग मुझ को दिखला; अपना पथ मुझे बता दे।	भजन संहिता 24:4
यहोवा भला और सीधा है; इसलिथे वह पापियोंको अपना मार्ग दिखलाएगा।	भजन संहिता 24:8
यहोवा के भेद को वही जानते हैं जो उस से डरते हैं	भजन संहिता 24:14
मेरी आंखे सदैव यहोवा पर टकटकी लगाए रहती हैं, क्योंकि वही मेरे पांवोंको जाल में से छुड़ाएगा।।	भजन संहिता 24:15
हे यहोवा, अपके मार्ग में मेरी अगुवाई कर	भजन संहिता 26:11
यहोवा की बाट जोहता रह; हियाव बान्ध और तेरा हृदय दृढ़ रहे	भजन संहिता 26:14
यहोवा मेरा बल और मेरी ढ़ाल है	भजन संहिता 27:7
उस पर भरोसा रखने से मेरे मन को सहाथता मिली है	भजन संहिता 27:7
यहोवा की वाणी शक्तिशाली है, यहोवा की वाणी प्रतापमय है।	भजन संहिता 28:4
यहोवा अपक्की प्रजा को बल देगा	भजन संहिता 28:11
यहोवा अपक्की प्रजा को शान्ति की आशीष देगा।।	भजन संहिता 28:11
उसकी प्रसन्नता जीवन भर की होती है।	भजन संहिता 29:6
हे यहोवा पर आशा रखनेवालोंहियाव बान्धोंऔर तुम्हारे हृदय दृढ़ रहें!	भजन संहिता 30:25
क्या ही धन्य है वह ... जिसका पाप ढ़ापा गया हो।	भजन संहिता 31:1
मैं तुझे बुद्धि दूंगा, और जिस मार्ग में तुझे चलना होगा उस में तेरी अगुवाई करूंगा	भजन संहिता 31:8
जो यहोवा पर भरोसा रखता है वह करूणा से घिरा रहेगा।	भजन संहिता 31:10
यहोवा के कारण आनन्दित और मगन हो	भजन संहिता 31:11
यहोवा का वचन सीधा है; और उसका सब काम सच्चाई से होता है।	भजन संहिता 32:4
यहोवा की करूणा से पृथ्वी भरपूर है।।	भजन संहिता 32:5
हम यहोवा का आसरा देखते आए हैं; वह हमारा सहाथक और हमारी ढाल ठहरा है।	भजन संहिता 32:20
जिन्होंने उसकी ओर दृष्टि की उन्होंने ज्योति पाई	भजन संहिता 33:6
परखकर देखो कि यहोवा कैसा भला है!	भजन संहिता 33:9
यहोवा के खोजियोंको किसी भली वस्तु की घटी न होवेगी।।	भजन संहिता 33:11
यहोवा टूटे मनवालोंके समीप रहता है	भजन संहिता 33:19
परन्तु मैं यहोवा के कारण अपके मन में मगन होऊंगा, मैं उसके किए हुए उद्वार से हर्षित होऊंगा।	भजन संहिता 34:9
यहोवा पर भरोसा रख, और भला कर	भजन संहिता 36:3
देश में बसा रह, और सच्चाई में मन लगाए रह।	भजन संहिता 36:3
यहोवा को अपके सुख का मूल जान, और वह तेरे मनोरथोंको मूरा करेगा।।	भजन संहिता 36:4
अपके मार्ग की चिन्ता यहोवा पर छोड़; और उस पर भरोसा रख, वही पूरा करेगा।	भजन संहिता 36:5
यहोवा के साम्हने चुपचाप रह, और धीरज से उसका आस्त्रा रख	भजन संहिता 36:7
नम्र लोग पृथ्वी के अधिक्कारनेी होंगे, और बड़ी शान्ति के कारण आनन्द मनाएंगे।	भजन संहिता 36:11
यहोवा की बाट जोहता रह, और उसके मार्ग पर बना रह	भजन संहिता 36:34
धर्मियोंकी मुक्ति यहोवा की ओर से होती है; संकट के समय वह उनका दृढ़ गढ़ है।	भजन संहिता 36:39
हे प्रभु मेरी सारी अभिलाषा तेरे सम्मुख है	भजन संहिता 37:10
क्या ही धन्य है वह पुरूष, जो यहोवा पर भरोसा करता है	भजन संहिता 39:5
हे मेरे परमेश्वर मैं तेरी इच्छा पूरी करने से प्रसन्न हूं	भजन संहिता 39:9
चुप हो जाओ, और जान लो, कि मैं ही परमेश्वर हूं।	भजन संहिता 45:11
हे देश देश के सब लोगों, तालियोंबजाओ! ऊंचे शब्द से परमेश्वर के लिथे जयजयकार करो!	भजन संहिता 46:1
उनके प्राण की छुड़ौती भारी है	भजन संहिता 48:10
हमारा परमेश्वर आएगा और चुपचाप न रहेगा	भजन संहिता 49:3
परमेश्वर को धन्यवाद ही का बलिदान चढ़ा, और परमप्रधान के लिथे अपक्की मन्नतें पूरी कर	भजन संहिता 49:14
संकट के दिन मुझे पुकार; मैं तुझे छुड़ाऊंगा	भजन संहिता 49:15
धन्यवाद के बलिदान का चढ़ानेवाला मेरी महिमा करता है	भजन संहिता 49:23
मूढ़ ने अपके मन में कहा है, कि कोई परमेश्वर है ही नहीं।	भजन संहिता 52:1
देखो, परमेश्वर मेरा सहाथक है; प्रभु मेरे प्राण के सम्भालनेवालोंके संग है।	भजन संहिता 53:6
अपना बोझ यहोवा पर डाल दे वह तुझे सम्भालेगा	भजन संहिता 54:23
वह धर्मी को कभी टलने न देगा।।	भजन संहिता 54:23
निश्चय धर्मी के लिथे फल है	भजन संहिता 57:12
हे परमेश्वर, तू मेरा ऊंचा गढ़ और मेरा करूणामय परमेश्वर है।।	भजन संहिता 58:18
सचमुच मैं चुपचाप होकर परमेरश्वर की ओर मन लगाए हूं; मेरा उद्धार उसी से होता है।	भजन संहिता 61:1
परमेश्वर हमारा शरणस्थान है।	भजन संहिता 61:9
परमेश्वर ने एक बार कहा है; और दो बार मैं ने यह सुना है: कि सामर्थ्य परमेश्वर का है।	भजन संहिता 61:12
धर्मी तो यहोवा के कारण आनन्दित होकर उसका शरणागत होगा	भजन संहिता 63:11
तेरे परमेश्वर ने आज्ञा दी, कि तुझे सामर्थ्य मिले	भजन संहिता 67:29
परन्तु परमेश्वर के समीप रहना, यही मेरे लिथे भला है	भजन संहिता 72:28
तू अपना मुंह पसार, मैं उसे भर दूंगा।।	भजन संहिता 80:11
यहोवा परमेश्वर सूर्य और ढाल है	भजन संहिता 83:12
यहोवा अनुग्रह करेगा, और महिमा देगा	भजन संहिता 83:12
यहोवा उत्तम पदार्थ देगा, और हमारी भूमि अपक्की उपज देगी।	भजन संहिता 84:13
हे प्रभु, तू भला और क्षमा करनेवाला है, और अति करूणामय है।	भजन संहिता 85:5
जो परमप्रधान के छाए हुए स्थान में बैठा रहे, वह सर्वशक्तिमान की छाया में ठिकाना पाएगा।	भजन संहिता 90:1
तू न रात के भय से डरेगा, और न उस तीर से जो दिन को उड़ता है	भजन संहिता 90:5
ऐसा न हो कि तेरे पांवोंमें पत्थर से ठेस लगे।	भजन संहिता 90:12
धर्मी लोग खजूर की नाई फूले फलेंगे	भजन संहिता 91:13
यहोवा राजा है; उस ने माहात्म्य का पहिरावा पहिना है	भजन संहिता 92:1
यहोवा मनुष्य की कल्पनाओं को तो जानता है कि वे मिथ्या हैं।।	भजन संहिता 93:11
यहोवा अपक्की प्रजा को न तजेगा	भजन संहिता 93:14
यहोवा के नाम की ऐसी महिमा करो जो उसके योग्य है	भजन संहिता 95:8
पवित्राता से शोभायमान होकर यहोवा को दण्डवत करो	भजन संहिता 95:9
यहोवा राजा हुआ है! और जगत ऐसा स्थिर है, कि वह टलने का नहीं	भजन संहिता 95:10
धर्मी के लिथे ज्योति, और सीधे मनवालोंके लिथे आनन्द बोया गया है।	भजन संहिता 96:11
यहोवा ने अपना किया हुआ उद्धार प्रकाशित किया	भजन संहिता 97:2
आनन्द से यहोवा की आराधना करो!	भजन संहिता 99:2
मैं किसी आछे काम पर चित्त न लगाऊंगा।।	भजन संहिता 100:3
वह तो नाश होगा, परन्तु तू बना रहेगा	भजन संहिता 101:27
हे मेरे मन, यहोवा को धन्य कह, और उसके किसी उपकार को न भूलना।	भजन संहिता 102:2
उसके किसी उपकार को न भूलना।	भजन संहिता 102:2
वही तो तेरे सब अधर्म को क्षमा करता, और तेरे सब रोगोंको चंगा करता है	भजन संहिता 102:3
जैसे आकाश पृथ्वी के ऊपर ऊंचा है, वैसे ही उसकी करूणा उसके डरवैयोंके ऊपर प्रबल है।	भजन संहिता 102:11
उदयाचल अस्ताचल से जितनी दूर है, उस ने हमारे अपराधोंको हम से उतनी ही दूर कर दिया है।	भजन संहिता 102:12
मैं जीवन भर यहोवा का गीत गाता रहूंगा	भजन संहिता 103:33
यहोवा के खोजियोंका हृदय आनन्दित हो!	भजन संहिता 104:3
यहोवा और उसकी सामर्थ को खोजो, उसके दर्शन के लगातार खोजी बने रहो!	भजन संहिता 104:4
यहोवा का धन्यवाद करो, क्योंकि वह भला है; और उसकी करूणा सदा की है!	भजन संहिता 105:1
वह अपके वचन के द्वारा उनको चंगा करता	भजन संहिता 106:20
परमेश्वर की सहाथता से हम वीरता दिखाएंगे	भजन संहिता 107:14
मैं यहोवा का बहुत धन्यवाद करूंगा	भजन संहिता 108:30
वह कंगाल को मिट्टी पर से, और दरिद्र को घूरे पर से उठाकर ऊंचा करता है	भजन संहिता 112:7
यहोवा पर भरोसा रखो! तुम्हारा सहाथक और ढाल वही है।।	भजन संहिता 113:19
जितने यहोवा के डरवैथे हैं, वह उन्हें आशीष देगा।।	भजन संहिता 113:21
मैं उद्धार का कटोरा उठाकर, यहोवा से प्रार्थना करूंगा	भजन संहिता 115:4
उसकी करूणा हमारे ऊपर प्रबल हुई है	भजन संहिता 116:2
यहोवा की शरण लेनी, मनुष्य पर भरोसा रखने से उत्तम है।	भजन संहिता 117:8
परमेश्वर मेरा बल और भजन का विषय है; वह मेरा उद्धार ठहरा है।।	भजन संहिता 117:14
यहोवा के दहिने हाथ से पराक्रम का काम होता है!	भजन संहिता 117:16
आज वह दिन है जो यहोवा ने बनाया है; हम इस में मगन और आनन्दित हों।	भजन संहिता 117:24
तेरा वचन मेरे पांव के लिथे दीपक, और मेरे मार्ग के लिथे उजियाला है।	भजन संहिता 118:105
तेरी व्यवस्था से प्रीति रखनेवालोंको बड़ी शान्ति होती है	भजन संहिता 118:165
मुझे सहाथता यहोवा की ओर से मिलती है, जो आकाश और पृथ्वी का कर्त्ता है।।	भजन संहिता 120:2
वह तेरे पांव को टलने न देगा	भजन संहिता 120:3
यहोवा तेरा रक्षक है	भजन संहिता 120:5
जब लोगोंने मुझ से कहा, कि हम यहोवा के भवन को चलें, तब मैं आनन्दित हुआ।	भजन संहिता 121:1
हमार जीव पक्षी की नाईं चिड़ीमार के जाल से छूट गया	भजन संहिता 123:7
जाल फट गया, हम बच निकले!	भजन संहिता 123:7
हमारी सहाथता उसी के नाम से होती है।	भजन संहिता 123:8
जो यहोवा पर भरोसा रखते हैं, वे सिरयोन पर्वत के समान हैं, जो टलता नहीं	भजन संहिता 124:1
जो आंसू बहाते हुए बोते हैं, वे जयजयकार करते हुए लवने पाएंगे।	भजन संहिता 125:5
अपके हाथ ... उठाकर, यहोवा को धन्य कहो।	भजन संहिता 133:2
यहोवा मेरे लिथे सब कुछ पूरा करेगा	भजन संहिता 137:8
यहोवा सब गिरते हुओं को संभालता है	भजन संहिता 144:14
यहोवा अपक्की सब गति में धर्मी ... है।	भजन संहिता 144:17
जिनते यहोवा को पुकारते हैं, ... उन सभोंके वह निकट रहता है।	भजन संहिता 144:18
वह खेदित मनवालोंको चंगा करता है, और उनके शोक पर मरहम- पट्टी बान्धता है।	भजन संहिता 146:3
यहोवा नम्र लोगोंको सम्भलता है	भजन संहिता 146:6
सिरयोन के निवासी अपके राजा के कारण मगन हों!	भजन संहिता 149:2
यहोवा अपक्की प्रजा से प्रसन्न रहता है	भजन संहिता 149:4
जिते प्राणी हैं सब के सब याह की स्तुति करें! याह की स्तुति करो!	भजन संहिता 150:6
यहोवा का भय मानना बुद्धि का मूल है	नीतिवचन 1:7
यदि पापी लोग तुझे फुसलाए, तो उनकी बात न मानना।	नीतिवचन 1:10
मैं अपक्की आत्मा तुम्हारे लिथे उण्डेल दूंगी; मैं तुम को अपके वचन बताऊंगी।	नीतिवचन 1:23
बुद्धि यहोवा ही देता है; ज्ञान और समझ की बातें उसी के मुंह से निकलती हैं।	नीतिवचन 2:6
वह सीधे लोगोंके लिथे खरी बुद्धि रख छोड़ता है	नीतिवचन 2:7
वह ... अपके भक्तोंके मार्ग की रझा करता है।	नीतिवचन 2:8
तू भले मनुष्योंके मार्ग में चल, और धमिर्योंकी बाट को पकड़े रह।	नीतिवचन 2:20
धमिर्योंके वासस्यान पर उसकी आशीष होती है।	नीतिवचन 3:33
मैं ने तुम को उत्तम शिझा दी है; मेरी शिझा को न छोड़ो।	नीतिवचन 4:2
उसकी प्राप्ति के लिथे यत्न कर; जो कुछ तू प्राप्त करे उसे प्राप्त तो कर परन्तु समझ की प्राप्ति का यत्न घटने न पाए।	नीतिवचन 4:7
मैं ने तुझे बुद्धि का मार्ग बताया है; और सीधाई के पय पर चलाया है।	नीतिवचन 4:11
चलने में तुझे रोक टोक न होगी	नीतिवचन 4:12
शिझा को पकड़े रह	नीतिवचन 4:13
परन्तु धमिर्योंकी चाल उस चमकती हुई ज्योति के समान है	नीतिवचन 4:18
मेरे वचन ध्यान धरके सुन, और अपना कान मेरी बातोंपर लगा।	नीतिवचन 4:20
जिनकोंवे प्राप्त होती हैं, वे उनके जीवित रहने का, और उनके सारे शरीर के चंगे रहने का कारण होती हैं।	नीतिवचन 4:22
सब से अधिक अपके मन की रझा कर	नीतिवचन 4:23
अपके पांव धरने के लिथे मार्ग को समयर कर, और तेरे सब मार्ग ठीक रहें।	नीतिवचन 4:26
तू अपके ही कुण्ड से पानी, और अपके ही कूंए से सोते का जल पिया करना।	नीतिवचन 5:15
मनुष्य के मार्ग यहोवा की दृष्टि से छिपे नहीं हैं	नीतिवचन 5:21
आज्ञा तो दीपक है और शिझा ज्योति	नीतिवचन 6:23
हे मेरे पुत्र, मेरी बातोंको माना कर	नीतिवचन 7:1
मेरी आज्ञाओं को मान, इस से तू जीवित रहेगा, और मेरी शिझा को अपक्की आंख की पुतली जान	नीतिवचन 7:2
बुद्धि, मूंगे से भी अच्छी है	नीतिवचन 8:11
जो मुझ को यत्न से तड़के उठकर खोजते हैं, वे मुझे पाते हैं।	नीतिवचन 8:17
क्या ही धन्य हैं वे जो मेरे मार्ग को पकड़े रहते हैं।	नीतिवचन 8:32
धर्मी को यहोवा भूखोंमरने नहीं देता	नीतिवचन 10:3
काममाजु लोग अपके हाथोंके द्वारा धनी होते हैं।	नीतिवचन 10:4
धन यहोवा की आशीष ही से मिलता है, और वह उसके साय दु:ख नहीं मिलाता।	नीतिवचन 10:22
धमिर्योंकी लालसा पूरी होती है।	नीतिवचन 10:24
धमिर्योंको आशा रखने में आनन्द मिलता है	नीतिवचन 10:28
सीधे लोगोंके आशीर्वाद से नगर की बढ़ती होती है	नीतिवचन 11:11
जो औरोंकी खेती सींचता है, उसकी भी सींची जाएगी।	नीतिवचन 11:25
जो अपक्की भूमि को जोतता, वह पेट भर खाता है	नीतिवचन 12:11
जो अपके मुंह की चौकसी करता है, वह अपके प्राण की रक्षा करता है	नीतिवचन 13:3
धर्मियोंकी ज्योति आनन्द के साथ रहती है	नीतिवचन 13:9
बुद्धिमानोंकी संगति कर, तब तू भी बुद्धिमान हो जाएगा	नीतिवचन 13:20
चतुर की बुद्धि अपक्की चाल का जानना है	नीतिवचन 14:8
सीधे लोगोंके तम्बू में आबादी होती है।	नीतिवचन 14:11
सच्चा साझी बहुतोंके प्राण बचाता है	नीतिवचन 14:25
यहोवा का भय मानना, जीवन का सोता है	नीतिवचन 14:27
शान्त मन, तन का जीवन है	नीतिवचन 14:30
कोमल उत्तर सुनने से जलजलाहट ठण्डी होती है	नीतिवचन 15:1
यहोवा की आंखें सब स्यानोंमें लगी रहती हैं	नीतिवचन 15:3
जो डांट को सुनता, वह बुद्धि प्राप्त करता है।	नीतिवचन 15:32
यहोवा के भय मानने से शिझा प्राप्त होती है	नीतिवचन 15:33
महिमा से पहिले नम्रता होती है।।	नीतिवचन 15:33
अपके कामोंको यहोवा पर डाल दे, इस से तेरी कल्पनाएं सिद्ध होंगी।	नीतिवचन 16:3
अपके मन को वश में रखना, नगर के जीत लेने से उत्तम है।	नीतिवचन 16:32
सोने के लिथे भट्ठी हाती है, परन्तु मनोंको यहोवा जांचता है।	नीतिवचन 17:3
मन का आनन्द अच्छी औषधि है	नीतिवचन 17:22
मन के टूटने से हड्डियां सूख जाती हैं।	नीतिवचन 17:22
जो संभलकर बोलता है, वही ज्ञानी ठहरता है	नीतिवचन 17:27
यहोवा का नाम दृढ़ कोट है	नीतिवचन 18:10
जीभ के वश में मृत्यु और जीवन दोनोंहोते हैं	नीतिवचन 18:21
मित्रोंके बढ़ाने से तो नाश होता है	नीतिवचन 18:24
जो मनुष्य बुद्धि से चलता है वह विलम्ब से क्रोध करता है	नीतिवचन 19:11
जो आज्ञा को मानता, वह अपके प्राण की रझा करता है	नीतिवचन 19:16
जो कंगाल पर अनुग्रह करता है, वह यहोवा को उधार देता है	नीतिवचन 19:17
मुकद्दमें से हाथ उठाना, पुरूष की महिमा ठहरती है	नीतिवचन 20:3
वरन यहोवा की बाट जोहता रह, वह तुझ को छुड़ाएगा।	नीतिवचन 20:22
यहोवा मन को जांचता है	नीतिवचन 21:2
बड़े धन से अच्छा नाम अधिक चाहने योग्य है	नीतिवचन 22:1
दया करनेवाले पर आशीष फलती है	नीतिवचन 22:9
पीनकवाले को चियड़े पहिनने पड़ते हैं।	नीतिवचन 23:21
घर बुद्धि से बनता है, और समझ के द्वारा स्यिर होता है।	नीतिवचन 24:3
जब तू युद्ध करे, तब युक्ति के साय करना	नीतिवचन 24:6
विजय बहुत से मन्त्रियोंके द्वारा प्राप्त होती है।	नीतिवचन 24:6
क्योंकि धर्मी चाहे सात बार गिरे तौभी उठ खड़ा होता है	नीतिवचन 24:16
कोमल वचन हड्डी को भी तोड़ डालता है।	नीतिवचन 25:15
धर्मी लोग जवान सिहोंके समान निडर रहते हैं।	नीतिवचन 28:1
जब धर्मी लोग जयवन्त होते हैं, तब बड़ी शोभा होती है	नीतिवचन 28:12
जो अपक्की भूमि को जोता-बोया करता है, उसका तो पेट भरता है	नीतिवचन 28:19
धर्मी ... मुकद्दमें में मन लगाता है	नीतिवचन 29:7
नम्र आत्मावाला महिमा का अधिक्कारनेी होता है।	नीतिवचन 29:23
हर एक बात का एक अवसर और प्रत्थेक काम का, जो आकाश के नीचे होता है, एक समय है।	सभोपदेशक 3:1
पत्यर फेंकने का समय, और पत्यर बटोरने का भी समय	सभोपदेशक 3:5
चुप रहने का समय, और बोलने का भी समय है	सभोपदेशक 3:7
जो कुछ परमेश्वर करता है वह सदा स्यिर रहेगा	सभोपदेशक 3:14
जो डोरी तीन तागे से बटी हो वह जल्दी नहीं टूटती।।	सभोपदेशक 4:12
जब तू परमेश्वर के भवन में जाए,..सुनने के लिथे समीप जाना...अच्छा है	सभोपदेशक 4:17
बहुत सी ऐसी बातें हैं जिनके कारण जीवन और भी व्यर्य होता है	सभोपदेशक 6:11
क्रोध मूर्खोंही के ह्रृदय में रहता है।	सभोपदेशक 7:9
परमेश्वर ने मनुष्य को सीधा बनाया, परन्तु उन्होंने बहुत सी युक्तियां निकाली हैं।।	सभोपदेशक 7:29
मनुष्य की बुद्धि के कारण उसका मुख चमकता	सभोपदेशक 8:1
बुद्धिमान का मन समय और न्याय का भेद जानता है।	सभोपदेशक 8:5
जो परमेश्वर से डरते हैं… उनका भला ही होगा	सभोपदेशक 8:12
तेरे सिर पर तेल की घटी न हो।।	सभोपदेशक 9:8
